pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F1664N_03F1710S,01F1664N,0000100116620B,120.691956,24.262647,03F1710S,0000300017100B,120.60197,24.292881,12.8,South
01F1664S_01F1699S,01F1664S,0000100016610B,120.691956,24.262647,01F1699S,0000100017000B,120.686625,24.231536,3.5,South
01F1699N_01F1664N,01F1699N,0000100116900B,120.686625,24.231536,01F1664N,0000100116620B,120.691956,24.262647,3.5,North
01F1699S_01F1774S,01F1699S,0000100017000B,120.686625,24.231536,01F1774S,0000100017700B,120.635611,24.184592,7.5,South
01F1774N_01F1699N,01F1774N,0000100117700B,120.635611,24.184592,01F1699N,0000100116900B,120.686625,24.231536,7.5,North
01F1774S_01F1802S,01F1774S,0000100017700B,120.635611,24.184592,01F1802S,0000100018000B,120.621933,24.163706,2.8,South
01F1802N_01F1774N,01F1802N,0000100118000B,120.621933,24.163706,01F1774N,0000100117700B,120.635611,24.184592,2.8,North
01F1802S_01F1839S,01F1802S,0000100018000B,120.621933,24.163706,01F1839S,0000100018400B,120.617247,24.130767,3.7,South
01F1839N_01F1802N,01F1839N,0000100118300B,120.617247,24.130767,01F1802N,0000100118000B,120.621933,24.163706,3.7,North
01F1839S_01F1906S,01F1839S,0000100018400B,120.617247,24.130767,01F1906S,0000100019060B,120.568131,24.113572,6.7,South
01F1906N_01F1839N,01F1906N,0000100119050B,120.568131,24.113572,01F1839N,0000100118300B,120.617247,24.130767,6.7,North
01F1906S_01F1960S,01F1906S,0000100019060B,120.568131,24.113572,01F1960S,0000100019600N,120.52785,24.085622,5.4,South
01F1906S_03F1941N,01F1906S,0000100019060B,120.568131,24.113572,03F1941N,0000300119400N,120.534546,24.120947,5.3,North
01F1906S_03F1991S,01F1906S,0000100019060B,120.568131,24.113572,03F1991S,0000300019900N,120.57766,24.102808,4.9,South
01F1960N_01F1906N,01F1960N,0000100119600N,120.52785,24.085622,01F1906N,0000100119050B,120.568131,24.113572,5.4,North
01F1960N_03F1941N,01F1960N,0000100119600N,120.52785,24.085622,03F1941N,0000300119400N,120.534546,24.120947,6.8,North
01F1960N_03F1991S,01F1960N,0000100119600N,120.52785,24.085622,03F1991S,0000300019900N,120.57766,24.102808,6.4,South
01F1960S_01F2011S,01F1960S,0000100019600N,120.52785,24.085622,01F2011S,0000100020100N,120.522786,24.040639,5.1,South
01F2011N_01F1960N,01F2011N,0000100120100N,120.522786,24.040639,01F1960N,0000100119600N,120.52785,24.085622,5.1,North
01F2011S_01F2089S,01F2011S,0000100020100N,120.522786,24.040639,01F2089S,0000100020900N,120.506117,23.971794,7.8,South
01F2011S_03F2194N,01F2011S,0000100020100N,120.522786,24.040639,03F2194N,0000300121900M,120.65272,23.985844,27.7,North
01F2011S_03F2235S,01F2011S,0000100020100N,120.522786,24.040639,03F2235S,0000300022340M,120.66127,23.955503,24.9,South
01F2089N_01F2011N,01F2089N,0000100120900N,120.506117,23.971794,01F2011N,0000100120100N,120.522786,24.040639,7.8,North
01F2089N_03F2194N,01F2089N,0000100120900N,120.506117,23.971794,03F2194N,0000300121900M,120.65272,23.985844,21.7,North
01F2089N_03F2235S,01F2089N,0000100120900N,120.506117,23.971794,03F2235S,0000300022340M,120.66127,23.955503,18.8,South
01F2089S_01F2156S,01F2089S,0000100020900N,120.506117,23.971794,01F2156S,0000100021500N,120.49765,23.912769,6.7,South
01F2156N_01F2089N,01F2156N,0000100121500N,120.49765,23.912769,01F2089N,0000100120900N,120.506117,23.971794,6.7,North
01F2156S_01F2249S,01F2156S,0000100021500N,120.49765,23.912769,01F2249S,0000100022500N,120.484881,23.830569,9.3,South
01F2249N_01F2156N,01F2249N,0000100122500N,120.484881,23.830569,01F2156N,0000100121500N,120.49765,23.912769,9.3,North
